	sample_30189	sample_30206	sample_30221	sample_30234	sample_30423	sample_30487	sample_30489	sample_30534	sample_30588	sample_30598	sample_30599	sample_30621	sample_30659	sample_30705	sample_30768	sample_30817	sample_30841	sample_30847	sample_30850	sample_30900	sample_30901	sample_30905	sample_30928	sample_30986	sample_30992	sample_30995	sample_30996	sample_31047	sample_31058	sample_31083	sample_31132	sample_31151	sample_31180	sample_31188	sample_31213	sample_31250	sample_31253	sample_31275	sample_31287	sample_31309	sample_31395	sample_31419	sample_31421	sample_31426	sample_31429	sample_31465	sample_31507	sample_31517
Lachnospiraceae_AC2044_group	14	385	0	183	8	0	135	0	0	318	0	0	139	0	37	51	0	0	169	166	221	0	0	10	0	0	0	0	0	0	0	0	33	0	0	25	0	517	0	28	0	763	1030	204	0	1062	0	17
Lachnospiraceae_FCS020_group	49	11	0	48	15	44	145	122	81	60	0	181	0	0	40	67	20	9	109	0	15	38	8	80	110	0	22	0	11	41	0	37	18	8	0	14	59	29	39	93	39	52	27	42	28	0	27	33
Lachnospiraceae_NC2004_group	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	978	0	0	0	0	0	37	0	0	0	0	0	0
Lachnospiraceae_ND3007_group	166	21	0	238	0	0	30	49	96	16	0	51	0	0	0	32	0	5	0	7	0	230	135	52	0	0	18	0	6	53	27	277	80	21	57	0	77	0	250	155	184	7	0	80	92	6	24	0
Lachnospiraceae_NK4A136_group	428	1226	0	7205	1032	76	804	207	344	1566	682	499	1333	662	413	448	176	12	1242	263	3764	81	307	1818	72	538	504	18822	0	415	207	208	2304	7798	3662	207	61	716	2040	312	568	1295	2225	1188	567	3883	2942	14916
Lachnospiraceae_NK4B4_group	0	0	0	13	0	0	18	14	0	56	0	0	30	0	0	57	0	0	0	29	0	23	0	0	0	0	13	0	0	35	0	0	0	0	0	0	0	0	0	0	0	509	0	0	0	43	0	0
Lachnospiraceae_UCG.001	1146	14	0	14	16	0	40	51	63	24	238	0	0	131	0	21	13	0	130	0	110	30	0	92	51	0	19	0	0	217	0	20	16	85	80	0	0	21	86	65	226	109	0	39	35	0	30	0
Lachnospiraceae_UCG.002	0	0	0	4	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lachnospiraceae_UCG.003	1517	0	0	63	4	0	0	0	0	0	0	0	0	0	0	0	0	0	244	0	729	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	55	0	15	0	0	0	0
Lachnospiraceae_UCG.004	10	0	8	0	0	0	38	0	0	66	70	0	0	0	0	0	28	4	0	0	42	59	0	0	0	15	18	19	0	0	0	0	23	0	157	0	0	0	39	17	27	13	19	0	79	14	0	68
Lachnospiraceae_UCG.006	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lachnospiraceae_UCG.008	0	0	0	0	0	0	12	8	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	14	0	8	0	0	0	0
Lachnospiraceae_UCG.009	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lachnospiraceae_UCG.010	24	26	0	38	15	0	113	26	61	899	195	10	91	120	0	0	124	89	52	39	66	106	258	138	13	125	51	286	0	69	0	3	241	133	454	0	0	23	73	312	63	133	67	245	204	84	306	120
Marvinbryantia	289	27	0	61	0	31	53	9	27	215	21	54	15	0	17	237	75	0	120	0	0	33	0	33	157	0	16	0	0	36	0	0	7	0	0	0	283	25	22	37	83	95	41	52	0	23	17	0
Moryella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	0	0
Oribacterium	0	0	0	0	0	0	0	0	0	0	0	0	8	24	0	0	0	20	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Roseburia	3016	226	1408	993	8223	103	353	404	369	590	484	53	609	1117	131	330	1127	334	2416	414	4953	487	974	1496	145	296	2608	695	46	243	44	1078	970	1831	1633	209	71	400	3896	881	6901	870	3900	1856	10167	7867	1505	4193
Sellimonas	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	10	13	0	0	0	0	6	61	0	0	8	0	0	0	0	0	0	0	7	0	0	0	0	0	5	32	11	0	13	0	0
Shuttleworthia	0	14	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	172	0	0	0	0	0	0	0	0	0	0	0	0	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Stomatobaculum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tyzzerella	0	0	0	0	35	5	0	0	116	9	127	0	0	6	0	0	91	0	0	138	6	31	44	111	0	0	0	0	0	0	6	0	170	51	18	38	0	0	45	0	0	0	0	141	58	0	87	0
Tyzzerella_3	1261	0	0	0	13	8	7	0	33	230	120	0	0	124	0	0	0	0	2550	0	20	0	0	0	0	0	0	62	0	269	0	33	94	0	0	315	0	0	0	0	0	0	0	0	0	0	345	0
Tyzzerella_4	0	0	17	0	36	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	29	46	0	0	0	0
Peptococcus	0	0	0	60	17	377	172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	58	0	2	0	0	0	0	0	3	0	0
Intestinibacter	0	199	0	0	0	8	84	940	367	0	44	130	0	0	213	2129	51	25	42	15	0	19	8	32	0	0	8	0	0	915	0	1418	0	17	22	0	1212	230	10	99	579	28	105	55	979	72	0	315
Peptoclostridium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1835	0	0	0	0
Peptostreptococcaceae_bacterium_oral_taxon_113_str._W5053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Peptostreptococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Romboutsia	1173	1327	0	81	14	261	909	2570	128	5	206	15	120	0	1748	4596	1059	340	865	247	182	18	0	263	5929	0	142	46	80	1412	608	684	36	1326	53	115	410	1889	74	486	356	139	1114	372	404	159	107	103
Terrisporobacter	0	190	0	0	0	9	65	18	33	0	161	265	0	0	14	134	12	0	297	0	0	0	0	0	0	0	9	0	0	235	0	1466	0	0	0	0	2472	139	0	58	141	0	1685	0	89	0	0	50
Anaerofilum	0	0	3	17	74	0	17	11	3	503	20	292	0	0	19	6	0	0	29	0	3	0	0	0	0	0	0	0	0	0	9	15	0	0	0	0	0	14	0	65	0	195	10	0	0	17	0	0
Anaerotruncus	0	18	0	0	0	0	5	0	0	5	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	32	0	0	0	0	0	0	0	0	0	8	111	0	43	0	0
Angelakisella	0	19	0	16	7	0	0	16	0	72	10	0	8	0	0	0	0	0	0	5	0	0	0	12	3	0	0	11	0	0	0	10	118	0	93	10	0	13	0	0	11	22	7	0	0	0	0	0
Butyricicoccus	0	17	1095	178	73	154	112	353	0	134	187	1437	94	208	110	326	0	78	0	49	416	176	111	490	27	253	278	252	47	287	53	105	75	196	362	0	0	17	298	341	242	83	355	358	138	16	350	190
Candidatus_Soleaferrea	0	0	0	53	0	0	0	0	0	4	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0
Caproiciproducens	0	0	0	0	0	0	0	0	7	0	12	0	0	18	0	0	0	0	0	0	0	0	0	10	0	0	0	12	0	0	0	0	10	0	30	4	0	0	0	0	0	18	19	0	0	45	0	82
Faecalibacterium	16265	20851	5891	1593	1864	1696	4670	23768	20678	15307	6974	22057	2434	931	7538	1589	8502	256	11352	498	3938	508	2139	14761	5157	2557	15103	579	121	2456	3420	10838	7187	5300	3773	5162	1296	14891	4452	1854	3107	5432	3615	2764	4721	926	20565	4367
Faecalibacterium_sp.UBA1819	104	22	675	26	45	28	195	77	405	178	150	0	102	40	0	39	586	72	127	106	53	0	8	133	759	480	10	1627	0	64	0	15	272	52	92	123	28	12	83	32	116	50	60	219	22	2969	137	236
Fastidiosipila	0	17	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	0	92	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
Flavonifractor	0	30	617	9	0	0	53	33	17	105	60	0	0	150	8	0	53	43	62	66	255	0	1166	31	11	446	17	140	0	11	6	0	33	36	51	10	0	0	36	35	0	29	16	20	114	185	116	150
Fournierella	0	38	0	65	0	0	126	21	0	0	0	0	10	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	7	0	0	21	26	0	0	0	39	0	0
Hydrogenoanaerobacterium	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0
Intestinimonas	0	17	649	0	0	0	34	91	45	120	65	0	8	35	0	7	4	0	29	73	70	0	0	0	206	360	13	116	0	0	0	46	21	0	92	91	0	0	0	7	5	35	172	0	11	88	14	0
Negativibacillus	114	0	0	28	0	0	0	27	0	0	109	0	135	10	0	0	0	0	0	0	0	20	0	100	0	0	0	0	0	94	5	0	0	33	277	223	36	79	12	34	57	99	0	270	175	0	0	0
Oscillibacter	26	51	3	131	11	0	410	45	88	273	210	0	47	232	0	20	11	8	10	25	95	0	14	45	10	1016	12	35	0	29	0	0	24	7	306	0	0	28	25	26	10	46	129	28	51	16	178	7
Oscillospira	0	0	0	81	0	0	33	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	59	0	0	0	0	0	0	35	16	62	0	12	0	0
Papillibacter	0	0	0	0	0	0	0	10	0	127	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	8	0	7	0	0	0	0	0	0	0	0	0	0	0	18	0
Phocea	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	8	0	18	19	0	0	0
Pseudoflavonifractor	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
Pygmaiobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0
Ruminiclostridium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0
Ruminiclostridium_5	232	780	1254	151	33	71	111	395	88	563	60	173	81	427	125	476	406	383	1857	78	217	353	107	217	24	327	338	2007	0	694	29	112	201	57	281	792	66	132	790	2914	298	968	334	322	202	358	439	167
Ruminiclostridium_6	579	10	0	522	44	4	115	958	240	805	7401	22	1027	0	49	97	0	6	2129	270	1269	0	0	0	0	111	164	20	0	366	15	181	112	0	717	135	111	0	0	1076	3148	120	3578	2101	0	1101	491	0
Ruminiclostridium_9	0	59	0	56	38	2	6	52	5	80	49	34	9	46	23	56	4	6	81	7	45	100	13	15	0	217	5	24	4	84	15	0	11	65	272	0	8	6	85	21	38	160	33	10	13	58	189	0
Ruminococcaceae_NK4A214_group	510	291	20	4376	688	105	3041	1528	0	3493	0	8	168	197	455	129	0	15	502	824	265	5592	0	1199	1814	0	284	493	0	414	9	93	2327	161	1835	3213	44	993	1398	546	472	2635	730	27	20	2423	75	6008
Ruminococcaceae_UCG.002	676	3478	4	6598	1286	173	8134	3028	5665	24727	229	19	240	7285	1659	719	135	19	905	5711	2571	1477	83	1719	1192	600	638	1245	9	1873	20	411	5129	526	6321	10113	224	3801	1192	1189	1218	9329	5268	7060	175	6015	2642	744
Ruminococcaceae_UCG.003	32	213	0	284	85	0	175	304	182	341	0	0	11	103	103	46	62	0	157	108	144	8	42	67	0	549	19	0	0	14	0	8	92	77	485	39	15	426	25	109	225	938	739	392	290	42	66	124
Ruminococcaceae_UCG.004	0	0	0	0	0	63	103	0	0	0	0	0	0	83	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	755	0	0	0	62	0	0	0	0	0	516	0	0	0	86	63	220	51	307
Ruminococcaceae_UCG.005	28	8145	0	1040	459	310	732	1078	3222	1890	22	13	608	159	1161	538	0	5	72	1226	103	698	18	125	581	0	63	93	0	562	45	122	1081	12	595	933	287	3571	55	195	442	1361	1253	614	26	972	136	347
Ruminococcaceae_UCG.007	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69	0	0
Ruminococcaceae_UCG.008	0	0	0	11	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	105	5	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0
Ruminococcaceae_UCG.009	0	0	0	0	0	0	11	0	16	19	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	11	0	0	41	0	0	16	0	255	0	0	0	0	0	0	0	11	0	0	0	66	0
Ruminococcaceae_UCG.010	0	95	0	622	216	16	327	173	717	702	0	0	47	0	129	186	0	0	0	112	104	4	0	21	4	0	49	0	0	31	0	0	108	4	106	672	10	5436	31	190	101	1272	538	430	0	440	0	0
Ruminococcaceae_UCG.011	0	0	0	0	0	0	46	0	0	152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	41	0	9	0	0	0	0	0	0	0	12	0	0	402	0	0
Ruminococcaceae_UCG.013	746	113	0	817	41	459	755	2634	29	395	582	258	891	111	234	624	1263	24	1934	56	276	103	0	300	221	224	997	890	128	459	381	581	178	722	1101	80	232	170	538	2008	3142	722	188	1078	352	66	207	415
Ruminococcaceae_UCG.014	33893	2700	16	1863	3583	177	12487	0	4952	883	48	2560	1842	0	1296	3844	20	9	155	542	472	0	72	361	0	280	5644	113	162	906	62	358	381	5138	4091	47	747	2135	0	210	1769	7174	291	6985	194	0	31	4507
Ruminococcaceae_V9D2013_group	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	18	0	0	0	0	0	0	0	0	0	0
Ruminococcus_1	806	7178	3	510	140	142	1518	497	1212	236	1326	104	81	562	820	455	28	27	491	106	1095	57	0	643	319	650	485	553	6	571	14	923	1220	1449	671	2546	95	369	318	418	2283	2570	1027	341	58	15	1029	956
Ruminococcus_2	9743	172	277	2190	408	208	4744	1576	864	399	922	616	1644	1562	1570	1955	0	48	1704	2992	8695	1271	0	149	3487	0	5826	634	65	1645	4629	2603	5836	1860	1394	8716	2168	878	3478	6714	57647	3649	1277	2063	154	158	6555	708
Subdoligranulum	3841	1258	17241	1972	3757	1019	2495	2636	4511	2200	0	7724	8364	15319	2047	3129	2874	372	7229	2008	10113	2787	534	9788	5203	5265	6870	9409	212	2072	10105	521	7211	15602	7128	1011	1743	2172	6194	17198	6278	2465	2751	5889	3104	7425	6627	13364
Clostridiales_bacterium_DTU089	0	31	0	0	0	0	0	23	21	0	0	0	50	0	6	55	0	0	0	0	5	0	0	0	27	73	0	12	0	30	0	0	0	0	49	0	0	0	13	25	15	0	14	0	0	78	8	548
Family_XIII_UCG-001	25	24	0	30	0	0	62	51	0	230	73	6	2	0	0	9	43	0	27	35	3	19	0	15	32	0	29	277	0	52	23	0	15	40	33	22	0	8	14	28	73	34	22	0	3	76	0	0
Clostridia_bacterium_UC5.1-2E3	0	0	0	0	0	0	0	0	0	0	0	0	16	17	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	8	29	0	0	0	77	0	0	0	0	0	0	0	56	0	0	17	0	0
Allobaculum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	247	0	0	4	0	0	0	0	0	0	0	0	0	0	0	1097	0	0	0	0	0	0	4	0	0	0	0
Catenibacterium	0	0	0	551	0	0	7787	0	0	0	0	0	0	0	0	293	0	0	0	0	0	4650	0	0	0	125	0	0	0	0	0	0	0	0	0	399	0	0	0	0	0	0	0	0	0	0	0	0
Coprobacillus	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	5	0	15	0	229	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dielma	0	0	0	0	0	0	0	0	2	38	25	0	13	3	0	0	37	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	0	0	0	0	0	0	0	0	15	10	6	0
Erysipelatoclostridium	10	1259	0	0	0	0	7	201	214	7	0	0	10	0	0	0	655	0	22	0	0	0	35	0	0	0	0	3	65	15	0	228	7	0	0	22	10	3	0	3	48	35	6	6	40	0	0	24
Erysipelotrichaceae_UCG.003	1079	113	5085	12	107	1629	54	757	476	298	279	1456	179	103	89	137	6994	4867	86	166	53	42	194	130	223	26	60	523	2448	1387	137	189	56	61	128	0	103	113	126	634	216	585	620	1002	849	64	35	230
Erysipelotrichaceae_UCG.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
Erysipelotrichaceae_UCG.006	0	0	0	58	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Faecalicoccus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Faecalitalea	0	0	0	0	0	0	0	91	0	0	0	0	9	7	0	165	153	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	17	5	0	0	0	0	0	0	0	0	0	0
Holdemanella	0	0	0	196	377	0	1320	0	0	0	0	0	0	0	781	0	0	119	753	160	5	1059	0	591	0	447	0	0	0	0	1684	0	161	0	0	557	357	0	0	5	0	0	1022	165	0	269	0	0
Holdemania	12	29	0	0	0	9	0	5	14	128	23	0	11	0	0	0	57	2	0	2	18	0	11	14	0	5	0	143	0	10	0	0	26	8	15	10	6	4	0	6	0	2	5	0	21	22	24	0
Merdibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Solobacterium	0	0	0	239	0	78	0	0	0	0	0	5	0	0	0	2	12	13	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	17	9	0	0	0	0	0	58	4	12	0	0
Turicibacter	29	62	0	0	0	11	148	276	13	3	58	24	0	0	23	55	0	0	85	39	0	194	68	0	0	0	13	0	1572	161	0	419	17	0	19	7	1036	215	39	39	42	3	21	0	7	39	0	29
Firmicutes_bacterium_CAG.56	1717	786	0	31	12	24	19	132	20	50	30	189	0	39	33	61	0	485	305	54	11	73	80	13	21	12	22	447	114	21	84	79	88	97	41	108	78	4888	64	25	264	316	71	26	395	15	125	86
Acidaminococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	357	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Phascolarctobacterium	4357	611	0	5739	8	9	441	867	108	12309	0	0	401	60	9	0	50	14	344	399	2728	555	4808	8437	123	19002	842	920	28	564	180	109	3160	0	9414	1748	19	158	5315	8	203	669	1316	5	17	9	582	0
Succiniclasticum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Allisonella	0	0	729	151	14	10	83	0	0	0	0	0	51	284	6	17	128	13	5	0	0	0	0	212	9	118	4	0	0	40	49	0	0	260	299	0	0	16	0	5	0	58	76	0	301	0	121	0
Anaeroglobus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
Dialister	0	0	15042	0	18341	252	5940	9713	125	27	3911	795	15	26	1479	317	0	299	0	25	27	17	36	718	11	113	19094	52	503	143	15	0	1721	10459	0	379	0	9859	9	2805	1714	707	0	1198	1238	428	198	6359
Megamonas	1134	0	0	0	0	19	0	0	0	0	1448	3079	0	600	0	0	0	2654	0	0	0	0	0	9	72	2875	0	0	0	0	1990	0	0	0	0	0	0	0	0	20	0	0	0	0	1110	0	0	0
Megasphaera	0	0	0	3458	0	0	4596	4	0	8	0	27	3	274	799	361	202	0	0	0	0	44	0	23	0	0	0	19	0	0	0	0	0	0	5	0	0	0	19286	7	10	0	0	0	18	7	0	5
Mitsuokella	0	0	0	75	0	0	366	0	0	0	151	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85	41	0	30	0	0	0	0	7	0
Negativicoccus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	75	0	0	0	0	818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Selenomonas	0	0	0	168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Selenomonas_3	0	0	0	0	0	0	0	0	0	0	0	11	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Veillonella	90	33	0	0	574	0	95	94	13	73	47	19442	56	27571	24	65	62	1662	2068	0	153	479	420	1383	0	10351	151	114	202	0	66	280	48	2643	28	39	60	1448	56	159	1088	29	1857	371	2900	0	3178	302
Cetobacterium	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fusobacterium	0	0	0	0	0	0	0	0	0	0	51	8	0	26	0	0	0	36518	0	0	0	79	19	18	0	2	0	0	2	0	0	0	0	6	0	0	24	15	14	0	0	0	0	0	0	94	843	0
Leptotrichia	0	0	0	0	0	0	0	0	0	3	0	11	0	8	0	0	0	0	0	0	0	0	0	0	0	46	31	0	0	0	0	0	0	268	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sneathia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	165	0	0
Victivallis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0
Bosea	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Falsochrobactrum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Neorhizobium	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gluconobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sphingopyxis	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Achromobacter	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Parasutterella	2027	9	535	0	0	0	5	8	208	0	0	0	0	266	0	0	205	339	0	0	20	0	0	0	0	65	21	0	0	17	0	348	0	826	1070	76	0	87	7	52	94	29	0	6	297	0	0	251
Sutterella	22	48	0	0	0	5	32	281	0	5	24	0	0	1144	0	33	40	0	73	29	29	0	54	31	0	88	40	22	0	85	6	0	0	166	1461	44	0	55	500	0	328	247	810	88	2315	0	175	61
Tepidimonas	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Oxalobacter	9	0	0	26	19	5	13	0	0	24	24	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	7	0	0
Neisseria	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	8	0	0	38	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dechloromonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bdellovibrio	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bilophila	37	81	0	0	0	16	20	1139	31	302	342	0	76	104	9	8	0	79	74	69	99	32	26	107	0	2864	15	102	0	13	0	35	62	744	0	60	0	10	285	43	54	85	149	59	145	69	1119	0
Desulfovibrio	0	0	0	105	7	112	1282	0	0	361	14	0	103	0	588	0	0	0	0	0	0	0	0	9827	12	8	20	0	0	400	77	0	70	52	0	0	79	13	0	0	1984	338	0	34	0	0	0	0
Mailhella	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
