	sample_30213	sample_30220	sample_30237	sample_30250	sample_30471	sample_30482	sample_30501	sample_30539	sample_30558	sample_30563	sample_30567	sample_30582	sample_30629	sample_30701	sample_30711	sample_30717	sample_30721	sample_30725	sample_30742	sample_30782	sample_30802	sample_30860	sample_30925	sample_30927	sample_30940	sample_30961	sample_31000	sample_31003	sample_31004	sample_31043	sample_31285	sample_31289	sample_31299	sample_31305	sample_31311	sample_31380	sample_31402	sample_31416	sample_31420	sample_31511	sample_31516	sample_75015
Peptostreptococcus	0	7	0	0	14	0	0	0	0	16	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Romboutsia	17	899	56	7527	4329	39	60	650	154	4101	104	47	714	53	1747	18	1924	508	202	33	15	5147	1052	2708	1483	875	476	0	51	18	7	19	338	49	1379	85	506	281	507	126	121	36
Terrisporobacter	30	573	0	354	163	0	0	24	19	99	0	0	24	0	0	0	0	55	0	0	0	504	11	66	0	0	0	0	54	0	157	0	127	0	128	0	38	158	74	26	48	11
Acetanaerobacterium	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anaerofilum	131	4	13	0	34	50	60	27	4	26	0	0	0	441	56	0	6	54	0	3	245	0	8	74	0	0	0	57	0	0	0	0	0	0	0	2089	13	6	60	0	0	0
Anaerotruncus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	0	0	6	0	0	0	0	0	0	0	0	6	0	0	13	0	0	5	4	0	0	0
Angelakisella	108	0	16	11	0	17	67	21	0	0	64	9	0	9	6	0	39	99	0	0	0	3	62	18	0	12	15	0	7	0	0	0	0	0	0	9	11	37	3	13	0	0
Butyricicoccus	0	282	150	184	935	86	274	186	127	17	136	306	171	111	209	60	57	104	190	34	56	399	327	24	513	78	256	254	32	190	116	31	0	106	359	0	141	135	63	895	52	99
Candidatus_Soleaferrea	0	0	42	7	0	7	0	6	0	5	0	0	0	0	0	0	0	40	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	13	0	27	0	0
Caproiciproducens	0	0	0	0	0	0	39	0	16	0	4	13	0	0	0	0	0	0	6	0	31	0	0	0	0	0	0	58	0	0	162	0	58	0	0	0	0	166	0	0	0	3
Faecalibacterium	3863	1072	8325	5722	4109	1081	1933	11703	1695	9159	3124	9370	3275	1970	9773	5185	19704	11492	17910	822	745	1949	9878	1412	28247	12533	13269	886	2078	8514	161	1118	5030	4890	3366	2839	9162	6617	7652	3878	997	3388
Faecalibacterium_sp.UBA1819	27	0	9	35	72	609	80	12	222	106	56	42	11	0	0	82	70	467	147	209	21	72	158	35	64	62	101	69	10	199	73	15	17	9	172	99	41	50	8	376	850	69
Fastidiosipila	0	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Flavonifractor	13	0	0	6	0	34	32	0	15	5	12	38	0	22	46	21	7	66	99	54	33	0	0	7	22	49	33	567	10	99	625	72	0	10	81	19	16	45	12	29	61	0
Fournierella	197	8	8	0	5	0	17	41	19	23	56	247	14	132	0	0	13	54	69	12	267	0	34	85	0	0	0	0	0	0	0	190	92	0	0	5	0	84	0	29	31	5
Harryflintia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	10	0	0	0	0	0	0	6	0	0	0	0	0	0	3	0	0	0	0	0
Hydrogenoanaerobacterium	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	4
Intestinimonas	32	22	0	6	387	23	275	103	14	9	41	83	0	0	11	0	198	362	25	15	8	0	0	0	29	7	14	40	34	103	0	31	80	0	0	56	46	104	11	6	49	0
Negativibacillus	28	0	0	8	0	0	11	0	52	0	0	0	12	0	18	15	120	13	0	0	0	0	33	0	0	0	27	284	0	0	0	0	0	31	0	0	18	0	0	25	0	5
Oscillibacter	53	0	71	13	20	226	406	60	17	6	120	89	28	113	53	0	21	495	163	74	151	0	53	28	7	25	13	19	111	249	0	61	55	0	25	32	46	366	99	12	66	21
Oscillospira	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	4	0	17	0	0	0	0	0	0	0	12	13	0	9	0	0	3	0	0	65	29	0	0	0
Papillibacter	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	11	0	0
Phocea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	5	0	0	0	0	0	0	7	0	0	0	0	0
Pseudoflavonifractor	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0
Pygmaiobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1037	0	18	0	0	0	0	0	0	0	0	0
Ruminiclostridium_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0
Ruminiclostridium_5	129	33	24	166	797	194	32	66	196	39	78	154	12	26	127	92	68	595	878	327	0	415	200	381	414	214	367	225	184	125	0	9	254	408	1169	515	111	445	54	727	985	1000
Ruminiclostridium_6	275	204	477	96	0	0	127	324	82	59	319	429	56	618	0	196	156	24	8	164	369	827	1205	0	0	1922	41	0	156	28	0	0	4197	49	0	0	919	927	1191	18	0	198
Ruminiclostridium_9	18	60	0	0	4	26	221	15	79	190	5	124	23	15	29	75	230	128	28	10	66	44	358	24	65	18	0	32	55	65	0	67	40	0	9	0	67	81	160	78	0	0
Ruminococcaceae_NK4A214_group	852	234	207	248	206	4153	1589	394	1399	2908	1624	1404	848	1135	835	200	932	2276	226	851	562	1127	369	1762	495	278	138	0	1885	10	0	690	249	94	0	208	165	1962	857	2949	584	1524
Ruminococcaceae_UCG.002	3676	112	1275	1112	806	1927	16811	2065	4676	3810	6575	2574	1463	4057	1844	23	3837	22099	9410	2430	3383	1427	375	1110	1207	530	812	24	6559	2304	13	2792	3921	1603	110	2339	4491	21760	2546	361	1892	3845
Ruminococcaceae_UCG.003	120	12	14	30	99	334	172	113	53	57	383	363	144	448	141	6	68	1053	748	239	824	36	13	345	27	50	16	0	44	48	0	1310	412	9	0	1283	613	2408	711	0	35	29
Ruminococcaceae_UCG.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97	44	0	0	139	92	0	31	0	0	0	0	0	0	0	0	300	32	0	47	57	102	0	140
Ruminococcaceae_UCG.005	873	129	440	200	185	262	1274	452	509	2917	830	1464	198	358	1157	0	2364	2371	515	443	1355	367	206	111	247	108	391	30	698	403	0	244	2076	78	0	364	2820	3922	677	412	293	351
Ruminococcaceae_UCG.007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ruminococcaceae_UCG.008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ruminococcaceae_UCG.009	52	0	34	0	14	0	534	0	0	0	77	14	4	16	0	0	0	98	10	0	16	0	12	0	32	0	16	19	40	0	0	12	0	0	0	0	0	17	34	0	22	0
Ruminococcaceae_UCG.010	327	73	60	29	276	10	1249	679	1244	339	550	497	58	476	234	0	47	586	31	29	524	53	56	8	21	17	2	2	567	0	0	108	342	4	0	0	280	1387	395	0	177	287
Ruminococcaceae_UCG.011	0	0	0	0	0	0	349	0	0	0	96	0	0	0	0	0	9	61	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0
Ruminococcaceae_UCG.013	238	709	24	678	4788	606	249	1138	922	106	361	3380	63	357	112	879	2139	837	470	63	124	2784	1180	22	974	1472	1308	72	347	265	0	257	640	585	1488	365	633	2802	1421	425	28	338
Ruminococcaceae_UCG.014	17449	1833	12609	2711	61	447	1339	11576	10948	2205	5256	5588	1696	3000	300	224	1952	0	781	2291	1321	16969	132	78	10000	3080	389	0	16773	0	3	1956	7618	8100	25	100	3376	926	2584	17	1454	512
Ruminococcaceae_V9D2013_group	9	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	13	0
Ruminococcus_1	96	434	28	402	432	144	585	463	713	368	185	403	1534	261	1340	124	949	4077	143	203	857	264	625	1425	2425	330	357	10	187	88	0	3171	33247	2579	0	102	752	3446	633	286	177	111
Ruminococcus_2	911	92	2013	27	17	3700	5950	6573	4083	6132	8155	134	1120	221	287	684	1388	1133	477	2264	1771	1924	760	88	4661	430	2029	19	1364	13	23	9565	102	341	0	628	2349	3974	2369	1110	5792	19178
Sporobacter	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0
Subdoligranulum	2485	3793	10215	5087	8929	7032	608	4255	3184	3573	5786	3138	654	5901	2003	1693	4255	5682	10323	10455	598	1786	2983	4331	20504	9594	8728	7193	1749	6091	2055	7998	5087	1818	1633	10566	1435	1688	5708	14456	7916	5228
Clostridiales_bacterium_DTU089	0	11	0	0	0	0	0	0	22	24	75	0	0	10	7	0	13	52	40	80	0	0	107	18	4	10	0	0	32	15	0	0	0	0	0	52	0	9	0	333	41	15
Family_XIII_UCG-001	6	0	0	22	9	25	483	41	55	51	17	88	23	41	41	0	15	29	27	43	24	76	39	52	21	57	27	13	20	78	0	102	45	39	0	13	67	17	20	352	6	0
Clostridia_bacterium_UC5.1-2E3	0	0	0	0	0	186	0	0	0	0	0	0	0	0	0	0	19	0	0	55	0	0	63	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	549	8
Asteroleplasma	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0
Candidatus_Stoquefichus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0
Catenibacterium	167	0	54	266	17396	0	0	0	0	0	63	0	0	266	0	0	0	0	0	0	44	0	0	0	0	0	0	370	593	0	0	9	0	0	0	0	0	0	0	0	0	2088
Coprobacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	141	17	5	0	0	0	0	0	0	0	0	0	5	0	58	0	0	0	0	0	0	0	0	0	0	0	57	0
Dielma	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0
Erysipelatoclostridium	0	3	0	0	0	2	0	11	0	0	0	3	10	0	0	123	5	0	2	0	0	0	304	0	0	0	0	0	0	0	428	0	0	30	28	0	0	0	0	14	17	0
Erysipelotrichaceae_UCG.003	7	1975	105	81	162	468	287	164	142	362	72	2530	903	178	728	899	360	114	100	89	8	741	4182	59	82	72	1221	97	12	156	0	6	590	1226	793	12	118	79	308	257	375	0
Erysipelotrichaceae_UCG.004	0	0	0	0	0	0	5	4	0	0	0	0	0	0	3	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	25	5	0	0	0
Faecalicoccus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Faecalitalea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	0	0
Holdemanella	484	2146	0	1200	7262	0	0	0	0	182	0	0	243	143	0	0	0	0	0	0	0	0	0	180	0	0	199	0	97	0	0	0	109	0	0	300	348	0	0	0	0	695
Holdemania	21	4	6	0	0	31	0	0	14	0	0	10	9	0	7	0	0	93	0	11	0	0	36	9	0	0	23	102	7	15	0	3	0	16	36	0	7	0	0	61	9	3
Merdibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0
Solobacterium	0	5	0	4	0	0	0	0	0	3	6	0	8	38	0	0	4	2	0	0	0	10	0	0	0	0	6	48	102	0	0	0	0	0	0	0	0	0	0	0	0	0
Turicibacter	14	1508	109	1831	347	96	0	58	47	33	11	0	34	0	24	0	0	97	73	172	0	1062	7	351	0	0	0	0	0	14	0	0	36	0	60	199	0	0	0	54	38	21
Firmicutes_bacterium_CAG.56	6	18	18	15	21	14	31	43	43	39	35	178	68	74	94	0	17	324	0	30	249	264	350	0	81	24	151	0	10	0	0	0	281	0	0	26	483	39	232	25	0	294
Acidaminococcus	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0	0	2	0	0	0	287	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	157
Phascolarctobacterium	92	10	196	43	179	1685	2959	8099	2414	260	4518	128	180	6493	235	321	125	1693	0	965	12645	112	314	635	261	3409	648	16871	176	136	0	12625	1751	1129	156	14647	5958	1407	3555	2236	855	0
Dendrosporobacter	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Allisonella	25	0	0	0	0	0	0	0	78	0	172	0	79	153	41	0	18	0	34	50	0	10	70	0	125	0	0	1166	172	184	0	47	0	14	0	0	0	0	12	299	0	0
Anaeroglobus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0
Dialister	11458	1269	1687	7	0	12	1293	1303	9	330	0	0	8356	7	0	0	5658	11851	1489	17	0	5	40	25558	11164	14	22	286	14762	9243	21	25	0	0	0	6259	192	687	412	33	12	4695
Megamonas	0	0	18	0	0	0	0	0	0	922	351	0	0	0	0	0	0	0	0	65	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	10656	119	0
Megasphaera	5681	35	0	0	0	0	3	0	0	0	0	0	0	6	0	577	0	0	3633	0	0	22	0	20	0	0	19	9	5689	18813	0	0	0	0	0	0	0	25	0	24571	0	323
Mitsuokella	950	0	0	0	0	0	10	0	0	0	0	0	371	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	683	43	0	0	0	0	0	0	0	0	0	0	0	0
Negativicoccus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0
Selenomonas_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0
Veillonella	370	8	749	186	0	0	58	23	1098	328	102	218	13	51	7	2056	14	2291	1492	150	197	34	311	3888	1380	637	2438	70	0	2734	52922	1441	558	130	37	674	1661	6115	16	1575	113	367
Cetobacterium	0	0	0	0	0	0	0	117	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fusobacterium	22	0	9	0	0	0	0	0	0	0	0	0	0	0	0	44	0	17	0	0	0	0	11	0	0	0	0	0	0	21	520	0	22	0	0	0	0	0	0	140	0	0
Leptotrichia	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	3	0	0	0	0	0	0	2	0	0	0	0	17	0	8	0	0	0	0	6	3	0	0	0	0
Victivallis	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	4	0	0	0	0	0	0	0	6	10	0	0	0	0
Ochrobactrum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
Methylobacterium	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rhodobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Parasutterella	0	0	0	0	0	563	18	0	301	6	0	9	0	25	0	0	0	25	13390	100	28	0	388	3	493	0	903	0	0	118	194	8	0	161	61	0	798	75	7	14	464	0
Sutterella	0	0	8	0	83	12	13	3	0	85	76	7	0	142	195	47	0	2	1909	0	28	12	0	183	5	847	0	814	29	378	0	318	15	0	0	135	420	237	901	78	856	3
Lautropia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0
Oxalobacter	0	0	0	13	0	30	0	14	0	0	44	0	4	27	0	0	145	0	0	7	5	8	0	8	0	0	7	0	0	0	0	0	0	0	0	0	0	155	0	0	34	31
Neisseria	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	5	25	0	0	0	0	0	0	0	0	0
Bilophila	0	0	34	216	327	73	201	61	172	10	363	44	85	78	117	19	29	56	383	51	77	4	1296	35	236	0	106	573	0	0	0	147	185	41	22	0	45	331	124	386	292	30
Desulfovibrio	1208	107	0	0	0	0	0	0	54	57	4589	0	1119	1235	0	574	0	284	202	3064	0	56	0	0	19	0	0	7438	764	0	0	387	9	0	0	0	0	278	0	0	0	0
Campylobacter	0	0	0	0	0	10	0	0	0	0	0	0	0	15	0	0	0	2	0	0	0	0	0	2	0	3	0	3	0	0	0	0	0	0	0	0	12	9	0	0	0	0
Aeromonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Succinivibrio	0	0	0	0	0	0	0	0	0	0	0	0	0	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cardiobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	8	0	0	0	4	0	0	0	0
Citrobacter	0	0	0	102	0	138	27	0	502	424	0	0	0	0	188	0	0	155	1294	0	0	0	0	0	0	0	0	0	0	0	0	0	2613	110	0	196	517	0	0	812	144	199
Cronobacter	0	0	0	0	0	0	0	0	0	295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Enterobacter	0	0	0	0	0	0	0	0	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Escherichia.Shigella	31	12300	34057	9362	102	15005	65	9994	1601	409	599	40	308	1590	1256	25674	77	1010	1716	10109	72	493	188	973	1412	97	632	34669	343	385	7194	33	308	245	346	1832	128	185	109	2257	899	1539
Klebsiella	0	0	816	0	0	430	0	25	15268	3378	468	43	795	109	144	12592	0	212	27443	192	0	242	6	1340	0	0	282	0	16	130	14065	145	2462	131	5801	97	956	107	41	3090	141	0
Morganella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0
Proteus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0
Raoultella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	0	0	0	0	0	0	0	0	0
Rosenbergiella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0
Salmonella	0	0	0	0	0	0	0	0	212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hafnia.Obesumbacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	193	0	0	191	0	0	0	0	0	0
Actinobacillus	0	0	0	0	0	0	0	0	28	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	1714	63	0	0	238	0	0	0	0	0
Aggregatibacter	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0
Gallibacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0
Haemophilus	46	0	410	2743	62	16	19	51	1334	969	103	28	32	20	11	2555	0	283	15977	430	19	0	47	4084	1146	142	617	0	5	1270	649	947	7391	179	0	100	3875	1989	7	48	8	984
Acinetobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	6	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudomonas	0	0	0	0	0	0	0	0	0	5	0	0	0	2	0	11	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	134	0	0	0	8	8	0	0	0	0
Stenotrophomonas	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Candidatus_Saccharimonas	0	11	0	2	0	0	0	0	0	9	0	0	0	0	0	0	0	5	0	0	0	2	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Treponema_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cloacibacillus	0	0	0	0	0	5	0	0	0	6	21	0	0	0	0	9	0	56	0	0	0	0	0	0	3	0	18	15	0	0	0	0	0	0	0	0	9	12	0	8	0	0
Pyramidobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	8	0	0	0	11	0	0	0	0	0
Anaeroplasma	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	446	0	0	0	0
Cerasicoccus	0	0	0	0	0	0	0	0	0	0	0	7	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	45	0	0	0	0
Akkermansia	0	16	39	8995	0	0	32	7398	16	62	251	10383	0	0	0	1969	11	12483	57	624	43	5551	1965	13	1370	39654	4791	13	42	3490	8	0	3964	0	32632	14724	397	2746	644	25	13	25
