	sample_30114	sample_30208	sample_30225	sample_30401	sample_30417	sample_30445	sample_30455	sample_30488	sample_30517	sample_30571	sample_30590	sample_30597	sample_30733	sample_30774	sample_30784	sample_30798	sample_30800	sample_30806	sample_30810	sample_30815	sample_30830	sample_30864	sample_30865	sample_30867	sample_30875	sample_30919	sample_30923	sample_30929	sample_30945	sample_30979	sample_31076	sample_31079	sample_31085	sample_31089	sample_31106	sample_31110	sample_31111	sample_31123	sample_31210	sample_31216	sample_31270	sample_31373	sample_31389	sample_31391	sample_31392	sample_31439	sample_31448	sample_31449	sample_31451	sample_31505	sample_31512	sample_75041
Lachnospiraceae_AC2044_group	107	0	313	0	0	0	993	0	0	0	0	69	314	212	737	58	0	503	580	67	0	0	6	196	0	82	0	0	173	9	31	203	29	0	0	1819	0	0	120	0	0	0	0	306	59	1462	21	830	93	1011	0	0
Lachnospiraceae_FCS020_group	99	0	0	132	118	0	28	255	0	0	73	210	23	48	93	39	130	34	116	402	0	58	0	191	137	113	100	28	0	5	6	566	0	0	14	194	12	68	10	0	51	14	81	25	73	255	9	98	10	92	0	233
Lachnospiraceae_NC2004_group	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	571	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	62	0	0
Lachnospiraceae_ND3007_group	39	0	16	75	171	0	12	138	33	180	29	70	205	63	62	74	81	0	27	61	6	14	0	6	10	10	0	0	41	113	0	34	26	16	85	9	31	6	15	0	36	180	134	231	263	862	28	321	58	134	7	40
Lachnospiraceae_NK3A20_group	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lachnospiraceae_NK4A136_group	334	158	103	1680	1612	0	171	668	4536	3541	887	372	2781	610	970	659	5681	528	4525	620	0	309	164	134	115	1206	309	905	711	551	5943	3272	1151	1381	4269	323	1068	260	746	19	327	1298	637	2649	560	669	1030	7960	2579	1639	31	308
Lachnospiraceae_NK4B4_group	0	0	451	0	0	0	76	0	0	0	0	0	0	0	0	40	0	30	23	22	0	664	0	29	0	36	0	831	40	0	0	33	0	0	0	0	0	0	27	0	0	0	9	0	0	287	67	442	0	0	0	11
Lachnospiraceae_UCG.001	0	0	79	14	142	0	17	228	0	0	235	0	1338	309	55	0	0	17	70	57	0	28	0	67	25	0	0	0	48	24	44	197	26	0	0	28	0	24	14	0	199	221	0	73	109	44	430	789	98	67	0	21
Lachnospiraceae_UCG.002	25	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lachnospiraceae_UCG.003	0	0	0	0	0	0	12	0	0	0	0	12	0	61	0	0	0	11	25	24	0	0	0	34	6	22	0	115	20	0	0	79	25	0	190	0	0	0	0	0	0	0	0	65	0	0	113	216	1204	0	0	0
Lachnospiraceae_UCG.004	0	54	14	0	0	0	0	0	0	25	0	13	389	0	14	10	0	0	19	17	0	0	0	0	0	453	0	251	68	35	0	12	275	80	39	0	710	0	0	0	0	16	0	250	0	130	166	1551	362	89	22	0
Lachnospiraceae_UCG.006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0
Lachnospiraceae_UCG.008	20	0	0	0	0	0	12	0	0	0	0	6	0	0	9	18	0	0	0	0	0	0	0	0	0	27	25	0	0	0	0	0	141	0	0	0	23	18	0	0	12	0	12	75	14	40	0	0	0	0	0	0
Lachnospiraceae_UCG.009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lachnospiraceae_UCG.010	14	34	89	64	14	38	271	0	19	303	12	0	108	137	4	5	0	15	0	5	0	0	41	0	0	144	44	234	151	83	22	42	34	53	33	6	236	10	18	0	0	44	254	9	182	708	18	695	186	300	71	0
Lactonifactor	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Marvinbryantia	394	0	0	291	60	0	154	146	0	0	112	23	0	198	287	119	11	33	168	104	32	724	0	174	236	25	88	0	0	29	0	113	0	0	0	100	0	83	25	0	58	0	18	54	92	218	0	29	0	815	0	318
Moryella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Oribacterium	0	0	0	0	21	0	0	0	14	0	0	0	0	0	0	0	3	0	0	0	58	0	0	0	0	0	0	0	0	0	13	0	0	0	6	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	12	0
Roseburia	368	325	127	1441	1443	0	390	717	84	4135	1730	175	1582	243	175	2051	318	180	497	760	33	137	923	466	454	313	1340	3473	701	142	987	1328	286	18784	3193	1356	1608	289	235	0	847	2012	1390	490	1504	398	895	4600	7654	1552	0	197
Sellimonas	0	0	0	0	21	0	14	0	0	0	0	6	0	0	0	0	10	29	0	0	0	0	235	6	185	4	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	106	5
Shuttleworthia	0	0	0	28	0	0	0	0	7	0	0	0	0	61	0	106	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	19	49	247	0	71	0	0
Stomatobaculum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tyzzerella	52	0	0	0	0	0	0	5	26	47	87	0	64	8	0	0	0	0	29	0	0	0	0	0	0	0	0	105	19	0	0	9	0	595	0	0	44	51	0	0	39	52	0	63	177	151	0	148	73	0	7	0
Tyzzerella_3	0	0	6	0	0	0	34	163	0	0	2	0	21	12	142	0	275	0	0	0	0	0	0	0	0	0	0	0	0	207	0	0	0	0	0	0	0	90	0	0	0	0	0	0	0	171	0	0	0	0	0	0
Tyzzerella_4	0	0	0	0	0	0	0	0	0	1129	91	0	0	0	0	0	0	0	0	0	535	0	813	0	0	0	0	217	0	0	0	0	0	934	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	3391	0
Peptococcus	0	0	0	0	0	0	0	0	0	0	665	0	0	0	0	0	0	0	0	0	88	0	0	0	0	0	0	4	0	0	0	0	21	0	0	679	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Asaccharospora	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Intestinibacter	0	254	0	7	1746	0	1397	2023	0	0	507	761	0	63	587	57	357	12	1733	1051	37	1877	530	2205	1465	0	101	19	0	0	0	5504	20	0	0	0	0	291	19	10	73	18	8	0	88	24	11	33	0	62	0	1236
Paeniclostridium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0
Paraclostridium	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Peptoclostridium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Peptostreptococcaceae_bacterium_oral_taxon_113_str._W5053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Peptostreptococcus	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	191	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Romboutsia	572	0	105	1535	7297	0	1852	11993	26375	41	5197	303	7	94	13967	699	1674	119	3705	3387	149	9099	0	9089	9012	626	3136	9	11	81	229	1024	84	2406	864	331	24	1339	2565	7	914	208	364	215	1257	547	773	611	231	2278	416	6880
Terrisporobacter	0	0	14	0	1107	0	981	357	0	0	8	145	0	0	46	0	12	0	487	45	0	3935	16	538	633	0	4	0	0	0	0	565	48	0	0	0	0	95	0	0	0	0	0	0	44	48	16	0	0	0	0	2754
Anaerofilum	0	0	7	11	8	0	24	0	0	13	0	0	138	408	0	10	0	0	0	0	0	10	0	0	0	154	0	0	0	0	0	67	0	0	0	0	0	0	8	0	0	0	0	10	0	168	1127	504	7	0	0	8
Anaerotruncus	0	0	28	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	6	0	0	12	0	8	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	13	16	0	0	0	0	21	0
Angelakisella	56	0	21	0	8	0	22	0	0	0	0	0	61	10	0	0	0	0	11	0	13	0	0	0	0	28	84	138	12	31	0	0	0	0	0	4	0	17	0	0	0	0	0	25	0	65	23	0	40	0	0	0
Butyricicoccus	0	365	0	0	445	0	38	529	52	231	297	116	69	104	108	39	845	0	761	0	12	608	58	46	308	0	402	500	81	289	116	113	0	471	241	73	78	411	112	230	44	79	522	214	298	119	672	266	81	0	82	251
Candidatus_Soleaferrea	0	0	0	0	0	0	0	0	0	6	6	0	0	5	0	0	18	8	0	0	0	0	11	0	0	0	0	0	0	6	0	0	0	0	5	7	0	0	0	0	0	0	0	0	3	0	0	0	0	5	0	0
Caproiciproducens	0	11	23	0	0	0	0	0	0	0	0	0	0	115	7	0	0	599	0	5	0	0	0	0	0	229	0	0	9	0	0	69	0	9	0	43	0	0	0	0	0	0	0	594	0	1159	8	0	0	0	34	0
Faecalibacterium	1095	11431	1289	5330	7877	105	62	10226	13981	4223	1120	1340	6241	10581	2002	2071	177	206	4495	1286	201	7346	3184	1100	6995	28707	8072	14421	2304	5546	3537	8419	11894	5481	15856	2260	15399	23353	1526	0	14063	6741	7323	6709	13352	8773	7160	6857	5571	13841	19028	2128
Faecalibacterium_sp.UBA1819	251	183	174	0	145	0	568	20	29	176	81	17	50	20	64	52	21	770	0	398	337	12	380	14	146	71	81	11	276	46	203	14	8	96	218	31	74	46	0	51	0	15	0	27	231	72	0	12	16	236	240	43
Fastidiosipila	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Flavonifractor	21	785	73	0	0	0	8	0	33	207	18	0	33	57	4	0	11	0	8	0	59	0	177	0	0	66	9	191	41	18	8	91	23	444	46	0	103	0	0	126	0	11	173	24	149	423	28	107	97	10	56	0
Fournierella	35	0	10	70	20	0	0	0	0	0	17	0	101	98	20	7	0	35	17	27	18	0	0	21	51	41	0	0	512	0	0	60	0	0	9	0	0	17	0	0	0	0	0	88	0	324	212	95	187	30	0	0
Harryflintia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hydrogenoanaerobacterium	7	0	27	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0
Intestinimonas	108	101	291	0	0	0	204	0	0	25	7	0	84	35	17	95	0	28	20	17	175	0	28	42	0	55	106	40	22	0	7	159	144	21	0	11	82	8	0	0	0	0	8	76	285	178	17	161	92	38	0	0
Negativibacillus	0	0	0	32	0	0	0	607	0	72	69	0	0	0	0	48	0	0	13	0	0	0	0	0	16	112	6	0	10	62	4	13	0	96	0	0	0	18	122	0	4	0	0	0	0	0	0	0	0	30	0	0
Oscillibacter	132	145	292	12	7	5	22	0	0	9	105	29	301	120	74	11	0	0	194	52	54	0	196	0	6	216	66	375	104	60	11	85	46	338	0	6	582	16	10	25	0	22	7	339	495	348	252	97	294	68	24	0
Oscillospira	0	0	8	0	0	0	86	0	0	0	0	0	15	0	0	0	0	0	10	0	0	0	0	0	0	131	7	0	0	0	0	0	0	0	7	0	166	0	0	0	0	0	0	0	8	102	0	0	40	0	0	0
Papillibacter	0	0	0	0	0	0	0	0	0	0	7	0	9	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Phocea	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudoflavonifractor	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pygmaiobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0
Ruminiclostridium	0	0	41	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ruminiclostridium_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0
Ruminiclostridium_5	271	658	546	41	665	11	361	252	58	105	90	242	121	35	63	23	42	157	6	354	537	158	198	294	434	137	145	128	54	358	245	488	0	108	1082	47	68	85	0	46	784	69	134	23	311	160	71	189	196	586	21	1436
Ruminiclostridium_6	33	0	247	451	8	0	376	51	0	16	0	5	109	291	160	263	105	401	7	342	36	234	7266	100	1804	2251	144	0	11	468	12	1449	26	0	75	703	77	0	202	0	343	0	26	1029	0	93	114	277	346	337	0	54
Ruminiclostridium_9	101	78	72	6	19	0	237	0	0	57	0	32	190	69	21	118	0	16	17	128	35	8	6	8	565	71	0	280	66	6	18	6	0	61	7	108	95	0	20	57	11	23	46	128	46	307	145	171	219	35	79	0
Ruminococcaceae_NK4A214_group	7586	31	1280	193	520	0	1410	73	0	395	3794	302	1612	1160	894	1343	0	535	282	886	239	91	3373	203	146	2750	34	0	1396	255	402	1412	391	0	33	545	15	88	215	0	318	0	0	2857	721	4625	938	211	724	4254	48	469
Ruminococcaceae_UCG.001	0	0	0	0	0	0	0	0	0	0	0	0	41	189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0
Ruminococcaceae_UCG.002	8440	394	5223	582	192	0	5218	37	9	149	8200	1578	4900	8898	3028	3406	9	3669	1237	2622	1388	13	3206	327	317	18839	229	558	5672	709	941	3871	380	0	718	1738	654	1174	1167	8	405	421	316	7033	5828	15093	3015	3964	3525	13869	0	143
Ruminococcaceae_UCG.003	354	270	41	88	0	0	102	0	0	40	109	52	609	436	81	34	4	21	196	62	0	7	127	13	11	664	5	351	149	10	29	168	122	0	25	86	378	23	21	0	6	31	77	1171	577	758	2579	1408	5144	294	0	31
Ruminococcaceae_UCG.004	0	0	0	0	0	0	292	0	0	0	273	74	0	0	0	0	240	0	0	602	0	0	149	0	139	0	0	0	0	0	0	0	0	73	238	0	0	68	0	0	11	0	0	0	115	0	0	0	0	0	118	116
Ruminococcaceae_UCG.005	1292	57	1793	154	98	0	1165	0	0	887	1272	433	924	2317	421	867	0	115	282	270	232	158	128	331	28	4705	307	372	2202	343	170	1849	2136	33	154	2039	128	653	463	0	1087	278	162	4526	365	3864	402	2759	706	25446	0	308
Ruminococcaceae_UCG.007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ruminococcaceae_UCG.008	0	0	7	0	0	0	0	0	0	0	383	0	0	0	403	0	0	0	0	0	0	0	174	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	11	0	0	0	0
Ruminococcaceae_UCG.009	0	0	10	0	0	0	0	88	0	0	0	0	15	91	0	0	0	0	27	3	0	0	0	0	0	1665	0	0	55	34	0	61	0	0	11	7	0	0	21	0	0	0	0	33	0	121	45	0	78	0	0	0
Ruminococcaceae_UCG.010	817	0	39	38	2	3	436	0	0	0	247	120	578	840	329	125	0	316	641	167	76	0	68	101	25	1911	6	0	961	0	26	290	6	0	185	337	15	0	141	0	12	0	11	625	78	3247	1164	274	67	629	0	5
Ruminococcaceae_UCG.011	5	0	16	0	0	0	0	0	0	0	0	0	0	20	0	40	0	40	0	6	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0
Ruminococcaceae_UCG.013	2279	0	1019	1265	2528	0	387	2471	388	96	1969	336	468	932	267	67	12	530	239	859	73	5690	47	1856	3573	226	1276	997	16	1481	202	823	418	4	1446	306	0	712	354	0	129	1897	564	829	491	1500	346	176	440	1341	0	875
Ruminococcaceae_UCG.014	15853	0	11775	9968	12647	25	12740	445	0	1053	4267	14454	1088	13164	14974	97	6	23435	6327	38764	1249	4525	11	3810	0	5295	2095	0	8354	3575	3695	4038	943	13	10294	8215	2275	2766	399	0	5514	85	2142	3970	740	14362	2188	7808	2894	7896	0	30979
Ruminococcaceae_V9D2013_group	35	0	11	0	0	0	27	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0
Ruminococcus_1	636	278	394	288	152	0	626	2487	0	14	5780	360	1704	421	1112	511	3	47	1928	328	160	92	152	246	233	7364	1019	19	209	147	93	594	12395	15	365	454	3026	535	539	0	1697	1393	651	820	3593	3040	1711	5508	2927	1098	0	514
Ruminococcus_2	0	29	876	0	1520	0	32	0	379	12636	608	436	560	763	1662	371	0	3943	1879	1358	0	2409	2087	190	1600	790	5861	1394	2516	1181	771	5583	1406	120	3785	1654	9477	2216	3885	0	1015	5342	68	2784	20	839	3485	323	10987	1144	0	1148
Sporobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131	0	0
Subdoligranulum	4303	312	2450	3657	21936	22	2872	12779	5551	9875	6914	3772	2546	2175	3475	738	3844	3232	6237	2407	522	15509	2842	10437	2934	1816	109	17552	811	19310	4738	2142	424	11399	12215	1249	1818	4931	483	0	1776	1710	4508	1332	3002	1762	6354	3733	5266	2381	0	18397
Clostridiales_bacterium_DTU089	0	0	62	0	13	0	11	0	0	0	13	13	0	0	95	39	0	24	19	52	24	0	0	9	34	0	10	0	22	0	17	0	0	0	8	20	8	12	0	0	5	0	0	0	0	37	14	0	0	21	0	54
Family_XIII_UCG-001	40	136	100	0	76	0	8	3	0	14	96	10	127	10	20	8	0	0	25	104	46	0	13	5	10	28	14	20	27	0	48	18	57	0	19	14	91	9	12	0	33	65	0	84	492	0	25	90	9	116	0	35
Clostridia_bacterium_UC5.1-2E3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	63	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	195	0
Asteroleplasma	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0
Candidatus_Stoquefichus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Catenibacterium	0	47	0	3173	0	0	0	0	0	243	229	0	0	0	0	0	0	0	0	13	633	0	0	0	0	110	0	0	0	0	0	11	0	0	0	0	0	0	1174	0	0	226	0	440	0	0	0	0	0	0	0	0
Coprobacillus	0	0	0	0	0	0	66	6	0	0	0	0	0	0	0	0	3	0	0	0	0	0	52	0	0	0	0	0	0	0	0	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dielma	0	0	9	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Erysipelatoclostridium	5	14	0	0	245	0	0	10	14	578	0	46	0	31	0	0	42	59	3	223	0	37	58	7	5	41	183	0	16	0	0	0	18	5	0	0	0	0	0	195	26	0	43	0	0	22	0	0	0	0	36	18
Erysipelotrichaceae_UCG.003	413	3	230	164	2010	3	8	420	717	2850	163	806	138	41	968	525	8201	222	362	2515	811	1842	0	616	2272	111	0	105	185	100	30	1805	103	437	238	72	74	227	60	0	364	11	761	165	1345	134	17	235	37	389	1890	576
Erysipelotrichaceae_UCG.004	0	0	0	0	0	0	0	0	0	0	0	6	0	0	8	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0
Erysipelotrichaceae_UCG.006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	28	0	0	0	0	0	0	0	0	0	0	0	0	0
Faecalitalea	0	0	0	0	0	0	0	0	6	108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	8	0	0	0	0	15	0	0	0	0	0	0	0	0	0	6	0	0	0	0	15	0
Holdemanella	9857	494	0	2062	0	0	0	0	0	2388	551	0	0	373	3	512	0	0	1056	0	1042	0	0	17755	0	268	0	0	0	0	0	12	0	6	422	0	0	0	2762	0	0	154	5	62	2	0	137	0	0	773	0	0
Holdemania	0	21	6	0	40	0	14	2	0	42	12	5	8	6	0	6	14	7	3	3	0	0	0	0	8	7	28	19	6	0	7	11	6	41	0	0	0	46	0	0	2	3	0	0	8	0	0	7	0	15	20	3
Merdibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Solobacterium	0	0	0	7	10	0	0	0	31	5	0	0	0	0	0	0	61	0	191	9	329	20	0	0	0	239	0	0	0	0	0	0	0	0	474	531	10	5	276	4	0	0	0	48	0	8	15	0	0	0	0	0
Turicibacter	0	0	5	0	153	29	1558	118	16	0	159	406	0	31	25	6	10	6	41	43	6	5816	0	2032	453	0	49	59	0	8	0	559	65	0	9	0	0	43	0	0	0	6	0	0	48	55	63	0	0	90	0	60
Firmicutes_bacterium_CAG.56	64	0	0	124	146	0	0	153	0	0	311	65	122	133	0	59	1306	11	0	55	0	165	0	8	53	950	0	0	48	87	21	55	13	0	17	43	0	10	0	23	815	360	606	80	81	357	55	0	81	96	0	506
Acidaminococcus	0	948	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4211	0	0	0	0	0	0	0	0	0	0	0	0	827	0	0	0	0	0
Phascolarctobacterium	1699	6966	1896	2019	61	18	4375	463	0	751	572	197	402	2079	409	797	10	234	257	95	526	19	3127	4	24	1454	249	24557	42	6711	1331	275	918	10566	15	27	14	622	56	2924	3	0	4491	5617	0	2809	1521	12066	14941	65	0	50
Succiniclasticum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7430	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Allisonella	43	35	0	40	0	0	0	39	0	109	0	0	0	0	0	32	0	0	7	12	0	19	0	0	0	18	0	0	0	0	394	0	0	155	0	0	0	38	35	785	13	218	0	0	54	0	83	0	0	0	0	0
Anaeroglobus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
Dialister	0	16	1752	0	3566	13	15	2240	59	21	6795	0	7815	4037	1391	2680	0	716	5	524	0	89	11	149	1779	7899	8756	506	16	15125	15412	79	0	0	80	668	15981	0	1922	0	2362	3899	53	542	1720	4497	3088	14	0	3469	33237	396
Megamonas	0	0	0	147	0	0	0	0	0	844	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	31	0	47	0	0	0	1484	0	0	0	0	0	0	0	0	0	0
Megasphaera	0	0	0	0	4	0	0	6378	0	0	0	0	0	0	0	166	0	0	0	0	0	0	0	0	0	0	0	40	2	0	172	8	0	12357	6	0	0	0	498	176	11	36	182	4	0	0	3235	0	0	0	20	0
Mitsuokella	0	0	0	0	0	0	0	0	0	0	0	0	72	0	7	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	609	0	0	0	0	120	0	0	23	0	0	0	0	0	0	0	0	0	0
Negativicoccus	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Selenomonas_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	11	0
Veillonella	13	103	27	444	86	0	9	385	1625	39	65	27	521	79	44	14	57	42	335	11	5	254	22	27	31	43	733	346	732	112	1086	2125	501	120	7209	30	130	34	556	513	126	1899	20436	359	12	99	601	561	199	17	3109	83
Cetobacterium	0	0	0	0	0	0	0	0	24389	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fusobacterium	0	0	0	0	0	101	0	0	241	4	0	0	0	0	0	0	30	0	0	0	39	9	0	5	0	0	0	41	0	0	13	0	0	232	0	0	0	0	0	233	0	0	14	0	0	0	4	0	0	0	172	0
Leptotrichia	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0
Streptobacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
