	sample_30170	sample_30381	sample_30383	sample_30394	sample_30398	sample_30418	sample_30433	sample_30460	sample_30467	sample_30516	sample_30518	sample_30580	sample_30585	sample_30587	sample_30675	sample_30696	sample_30709	sample_30741	sample_30753	sample_30799	sample_30804	sample_30814	sample_30835	sample_30843	sample_30855	sample_30862	sample_30917	sample_30950	sample_30956	sample_30957	sample_30958	sample_30964	sample_30968	sample_30974	sample_30994	sample_31024	sample_31025	sample_31054	sample_31088	sample_31096	sample_31119	sample_31174	sample_31206	sample_31209	sample_31241	sample_31246	sample_31263	sample_31267	sample_31316	sample_31387	sample_31388	sample_31394	sample_31399	sample_31412	sample_31413	sample_31457	sample_75024
Blautia	677	183	4179	8863	652	1197	7596	2539	8512	202	1006	16275	208	1135	875	375	0	1345	7419	11350	2989	3331	1029	452	6039	844	804	312	336	2693	1569	1682	938	119	2789	4212	2829	2925	1944	425	602	2607	3217	996	1287	11333	1398	79	952	3577	5539	1279	4202	4675	1723	488	243
Butyrivibrio	0	0	130	0	165	0	149	0	0	35	0	0	0	0	0	0	0	0	0	0	0	37	0	186	482	0	214	0	0	0	0	0	0	0	0	0	0	0	0	300	0	1103	0	0	0	0	3468	110	0	0	0	0	0	619	0	345	0
Cellulosilyticum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Coprococcus_1	26	0	368	434	57	82	201	155	106	9	274	173	14	57	91	11	0	63	266	444	152	107	87	43	117	33	101	12	49	0	0	140	65	0	190	155	207	429	335	6	38	497	85	34	0	443	54	12	147	90	137	43	307	96	102	28	0
Coprococcus_2	77	0	189	202	80	5990	422	556	10	282	122	10	422	118	28	39	0	94	46	90	1885	3418	1762	18	31	117	1705	0	0	0	0	233	0	257	716	0	0	0	123	82	0	398	1834	0	0	286	0	41	4813	6374	1913	0	682	96	819	2035	0
Coprococcus_3	175	272	394	441	125	216	311	350	204	45	348	326	216	151	98	189	0	83	1555	1471	179	151	116	98	58	146	444	89	700	0	0	317	0	42	448	675	458	527	399	152	558	1683	225	1149	330	866	415	99	518	389	1191	1485	3523	2193	241	939	37
Dorea	416	83	1582	1889	299	360	2059	1866	1330	64	685	1569	209	389	171	405	0	1003	2639	5231	3290	3533	390	198	919	180	379	142	119	0	163	963	307	154	1131	5132	1317	1704	1090	372	92	2296	894	403	224	1678	1958	488	695	929	2382	2393	3570	2386	795	476	203
Eisenbergiella	0	190	0	0	0	56	0	0	0	0	6	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	129	236	0	2500	0	197	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	42
Epulopiscium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	23	0	0	0	0	0
Fusicatenibacter	198	66	247	941	39	293	225	220	253	0	103	1788	102	117	243	88	0	350	993	1027	288	1062	364	99	345	168	724	378	162	167	274	249	0	0	352	424	131	1385	114	174	34	378	1074	141	292	849	858	90	587	572	925	250	915	157	427	59	93
GCA.900066225_genus	5	26	9	40	8	65	14	5	0	0	0	14	0	86	13	0	0	6	0	0	9	190	0	65	0	0	51	50	29	0	23	0	0	0	0	0	0	17	39	19	0	0	38	57	0	15	93	0	0	0	13	0	0	8	9	37	26
GCA.900066575_genus	21	0	0	0	0	17	0	11	0	0	26	0	0	7	0	0	0	0	0	0	15	15	15	0	0	0	29	0	20	0	0	0	0	11	33	0	0	22	0	12	87	18	7	10	60	0	30	21	30	13	52	0	0	48	7	179	0
Howardella	0	0	0	0	55	0	0	0	1485	0	180	0	0	0	6	0	0	0	53	566	0	0	0	291	13	0	48	0	0	0	0	7	0	0	0	513	36	0	53	0	120	0	0	0	0	0	0	84	191	0	0	0	0	294	0	0	0
Hungatella	0	24	0	0	15	126	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	612	170	66	168	0	0	0	0	10	0	116	0	0	10	0	0	0	40	0	0	0	0	0	0	0	0	0	28	0	0
Lachnoanaerobaculum	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lachnoclostridium	84	249	18	34	30	274	26	59	399	414	386	39	1379	1139	47	101	0	17	81	17	252	530	1802	187	0	145	138	242	2686	1364	7552	14	1535	119	2235	1310	23	233	16	37	2230	164	237	376	1133	23	324	130	1273	192	338	647	2963	491	891	758	47
Lachnospira	1548	33	76	104	111	525	75	92	191	35	2576	67	315	214	0	634	0	24	22	16	117	828	2565	200	40	29	976	50	60	0	125	50	0	126	322	674	25	1009	106	358	1529	221	210	56	214	346	712	514	1183	1155	724	299	553	216	700	3365	342
Lachnospiraceae_AC2044_group	1296	0	79	8	70	52	1131	13	119	0	22	72	0	0	0	0	0	0	0	0	1602	102	0	43	11	0	166	0	0	0	9	21	0	0	49	79	60	0	43	170	0	39	145	0	0	154	971	0	0	0	179	0	14	705	17	68	0
Lachnospiraceae_FCS020_group	29	0	11	124	7	14	81	54	28	11	105	76	0	25	10	0	0	38	222	143	39	79	39	0	137	34	58	0	0	0	0	10	0	0	74	205	28	35	34	16	4	65	51	50	0	543	18	19	0	28	51	16	111	47	59	110	12
Lachnospiraceae_NC2004_group	0	0	172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85	0	0	0	0	0	0	0	0	0	0	0	0	9048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	0
Lachnospiraceae_ND3007_group	41	0	0	15	14	192	32	79	17	0	135	90	26	23	0	12	0	52	83	17	19	293	48	39	40	46	243	22	0	0	0	59	0	19	233	63	41	81	51	0	76	25	42	22	11	28	44	10	89	74	36	115	376	275	41	150	57
Lachnospiraceae_NK3A20_group	0	0	0	0	6937	0	0	0	0	0	0	0	0	0	0	0	0	1218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lachnospiraceae_NK4A136_group	2441	5340	162	150	1334	2699	1663	122	336	143	3086	261	171	1539	989	55	0	229	439	110	470	1429	2561	490	105	78	1054	57	473	0	388	260	0	402	3805	1016	426	1102	161	565	5651	479	2450	527	3126	1696	2469	498	2384	3754	2179	131	290	895	1044	5035	265
Lachnospiraceae_NK4B4_group	95	51	56	0	37	37	9	0	0	0	0	0	0	57	50	0	0	0	0	0	55	0	0	0	0	0	68	0	0	0	0	0	0	0	0	0	44	0	0	17	0	0	0	0	0	82	82	0	11	0	142	0	11	348	0	88	0
Lachnospiraceae_UCG.001	39	29	36	263	0	63	11	21	14	0	155	28	0	143	0	8	0	8	0	113	17	450	132	0	7	0	387	0	0	0	0	0	0	0	14	0	0	73	79	57	0	91	269	29	0	182	172	0	254	269	0	0	0	14	21	421	9
Lachnospiraceae_UCG.003	0	2067	0	10	0	0	10	0	135	0	39	0	0	288	0	0	0	0	0	0	0	0	0	0	21	0	45	0	0	0	0	0	0	0	0	0	0	0	6	227	0	519	0	0	0	14	335	0	15	30	29	0	0	53	0	0	0
Lachnospiraceae_UCG.004	15	28	0	0	0	33	0	9	17	32	54	16	45	47	0	29	0	0	0	0	27	180	279	12	0	0	103	48	57	0	0	0	0	25	134	25	0	348	0	8	175	0	18	43	498	0	13	0	38	6	45	38	64	19	76	569	28
Lachnospiraceae_UCG.006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0
Lachnospiraceae_UCG.008	0	0	0	0	0	25	7	0	0	26	0	0	0	0	0	0	0	0	9	0	0	46	0	0	0	84	25	0	0	0	0	0	0	0	28	0	0	0	0	0	0	369	9	0	0	0	0	0	0	0	0	0	31	0	85	8	0
Lachnospiraceae_UCG.010	76	18	0	11	14	113	9	0	0	37	92	4	52	312	0	0	0	6	51	0	5	421	210	26	10	41	129	101	849	0	243	0	0	37	346	615	7	805	0	17	159	181	68	148	140	51	95	77	475	108	37	89	347	239	258	276	34
Marvinbryantia	0	0	281	111	32	0	341	101	187	0	8	48	0	17	43	0	0	46	79	262	0	141	0	0	481	0	69	0	0	0	0	43	0	0	114	58	132	25	37	0	0	244	0	0	0	303	27	0	0	20	566	0	57	128	36	0	24
Moryella	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Oribacterium	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	16	0	0	45	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	262	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0
Roseburia	956	1275	187	271	911	596	165	600	169	10	1132	486	1187	3548	206	948	0	400	159	323	443	669	1854	739	114	105	4026	122	385	0	166	464	0	211	1805	594	227	1857	296	629	1098	121	652	195	1565	1772	976	576	4927	4410	2895	498	2129	6650	1333	11256	469
Sellimonas	0	0	0	10	0	18	0	0	0	0	0	0	0	7	0	0	0	0	0	10	12	21	0	0	0	0	0	0	0	128	54	30	0	0	0	0	0	13	0	0	0	0	7	13	0	14	0	0	0	0	0	0	0	0	11	0	0
Shuttleworthia	15	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	15	0	17	0	0	0	0	0	53	0	0	0	0	0	0	0	0	151	0	0	0	0	16	0	84	0	30	0	0	80	0	0	0	0	0	616	0	0	52	0
Tyzzerella	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	282	0	0	0	0	0	18	15	0	1380	0	0	0	33	154	0	0	0	8	51	0	10	0	27	0	16	0	171	0	0	0	74	331	72	17	39
Tyzzerella_3	0	133	14	623	0	0	0	350	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	303	18	4	0	7	37	0	137	0	0	0	0	0	0	0	14	0	653	0	0	0	0	0	186	0	0	19	0	0	26	0	0	0	0
Tyzzerella_4	0	0	136	0	7	0	0	0	0	0	0	0	0	0	0	0	89	0	0	0	0	0	0	0	0	0	0	108	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	70	0	29	0	27	0	0	93	0	0	0	0	0
Peptococcus	0	0	30	0	0	113	825	0	3	0	0	0	0	0	0	0	0	5	0	2104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	568	0	2	0	0	3	0	0	91	0	0	0	0	0	0	0	0	0	439	0	0	0
Clostridioides	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	454	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Intestinibacter	277	68	22	825	91	8	1008	10	14	0	0	537	27	15	321	27	1384	1559	0	178	104	0	7	80	43	11	1320	35	38	173	0	409	32	0	0	0	0	16	92	191	8	0	47	53	402	1978	0	0	0	79	1167	218	47	120	8	13	0
Peptostreptococcus	0	0	0	0	0	12	0	10	0	0	0	0	0	0	0	0	0	0	8	0	0	0	25	17	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Romboutsia	324	137	1519	2719	25	271	6151	429	352	16	36	2103	666	170	113	343	171	7091	234	1082	19	276	36	257	251	62	2078	7	0	61	88	506	55	231	33	133	1482	444	2653	705	0	38	343	520	601	1462	295	0	6	1103	1710	2175	2641	409	169	729	288
Terrisporobacter	541	0	0	48	0	0	240	0	0	0	0	45	24	0	0	6	1302	757	0	19	33	0	0	20	108	0	980	0	0	134	0	0	0	0	0	0	0	0	34	89	0	0	0	0	657	24	28	0	0	9	715	47	0	18	14	0	0
Acetanaerobacterium	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anaerofilum	582	0	0	0	0	68	0	35	0	38	0	0	329	14	0	0	0	13	18	6	0	2	0	0	0	0	140	0	0	0	0	13	0	264	0	0	0	0	0	0	0	0	0	0	0	17	49	198	0	67	10	0	17	11	22	404	57
Anaerotruncus	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	0	0	3	0	0	15	32	0	22	0	0	0	0	0	0	3	0	0	0	0	0	0	34	0	0	0	0	0	6	0	0	4	19	0	0
Angelakisella	13	52	0	0	23	105	0	18	7	13	0	12	7	0	20	0	0	35	0	0	0	78	0	23	0	0	52	0	0	0	10	0	0	0	0	0	0	0	0	0	0	18	0	19	0	9	39	10	0	0	7	9	7	10	28	78	0
Butyricicoccus	252	128	53	0	125	103	100	57	396	20	596	77	161	301	9	348	0	0	417	519	1903	230	511	54	76	0	29	50	352	0	1416	0	31	109	641	545	0	245	100	48	641	0	38	0	109	0	0	0	1557	101	172	94	811	717	217	86	109
Candidatus_Soleaferrea	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	21	0	0	0	0	0	0	0	26	7	0	5	0	8	6	18	0	0
Caproiciproducens	7	0	0	0	0	0	0	0	0	0	0	0	53	17	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	18	0	0	0	0	17	0	0	0	0	9	0	0	12	0	0	0	0	0	0	0	16	30	0	0	13	8
Faecalibacterium	1749	5421	957	1395	1073	1801	3803	5385	2852	7563	16210	8041	2383	2296	25002	1319	0	4360	7216	1389	4306	15903	25279	980	3201	3112	20790	412	10300	717	933	2970	4339	1380	8816	16075	1027	2402	1654	2235	8924	12859	17915	3474	8281	2966	3101	13265	2847	5705	6056	8069	13691	11549	4722	18285	1030
Faecalibacterium_sp.UBA1819	73	700	331	193	36	162	12	90	18	21	24	97	78	1107	10	0	0	31	0	20	126	375	75	120	33	59	35	602	593	0	1708	15	119	18	21	0	38	1088	116	79	382	328	166	167	112	71	95	0	19	70	323	74	138	70	140	12	103
Fastidiosipila	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Flavonifractor	10	110	0	83	0	9	0	58	0	0	50	13	20	45	0	0	0	0	0	0	102	76	77	9	0	5	44	119	363	177	1036	0	744	32	175	536	0	282	0	22	92	0	54	60	283	0	38	19	7	8	33	31	38	16	106	30	39
Fournierella	19	0	8	0	25	175	24	11	12	15	40	18	0	0	0	7	0	26	0	0	64	0	0	148	8	0	321	0	0	0	784	0	0	0	0	0	0	17	6	253	0	35	0	0	0	9	0	19	0	0	7	8	8	75	15	137	8
Harryflintia	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hydrogenoanaerobacterium	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	7	0	0	0
Intestinimonas	8	98	7	37	11	0	70	165	0	21	54	4	23	106	0	0	0	119	402	0	84	154	19	16	0	41	76	71	111	36	103	0	0	0	218	16	12	31	173	10	93	0	75	22	369	46	104	35	0	107	244	0	34	19	263	35	0
Negativibacillus	0	0	0	0	0	21	12	194	0	220	0	0	9	31	0	0	0	691	0	0	0	267	0	0	0	53	429	0	0	0	0	0	0	5	77	0	30	0	92	0	16	461	23	548	0	0	0	0	0	0	126	39	388	133	345	120	0
Oscillibacter	21	131	13	194	20	33	22	33	0	51	4	53	11	244	0	0	0	0	0	0	127	227	30	30	14	42	308	732	951	13	317	6	135	36	74	110	0	141	0	210	315	7	54	37	162	9	151	72	9	9	97	26	71	29	314	125	30
Oscillospira	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	8	7	0	0	26	0	0	0	0	0	0	0	17	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	6	0	32	0
Papillibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Phocea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	9	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	26	0	0
Pseudoflavonifractor	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	0	0	0	59	0	0
Ruminiclostridium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0
Ruminiclostridium_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0
Ruminiclostridium_5	202	716	149	266	488	1055	45	204	171	0	54	251	263	308	128	0	0	105	718	48	583	606	189	93	131	723	167	398	569	0	1614	46	130	99	542	635	27	791	87	278	37	85	167	67	218	1574	191	42	94	129	870	45	1213	147	270	183	104
Ruminiclostridium_6	707	7338	241	302	0	222	227	10	503	42	380	161	0	120	48	0	0	43	0	22	1137	368	0	306	185	28	651	0	0	0	0	165	0	5	481	0	13	131	271	28	0	1181	3791	191	0	16	459	18	496	0	1458	211	113	481	2211	1148	0
Ruminiclostridium_9	35	0	12	48	9	19	77	18	46	0	13	215	82	138	0	3	0	8	20	17	63	737	57	24	0	25	31	1029	43	0	1529	11	0	26	22	54	9	25	16	42	65	26	79	7	212	73	97	6	112	35	28	37	75	37	81	69	26
Ruminococcaceae_NK4A214_group	3662	704	941	1907	348	100	145	4315	699	7042	308	770	358	619	1584	0	0	263	181	90	2518	5338	129	8497	58	1283	1832	7	0	0	788	109	0	126	211	0	130	295	1402	1340	1383	5097	648	564	777	921	1430	164	0	210	878	319	2535	960	698	2043	1344
Ruminococcaceae_UCG.002	5906	1182	1814	5170	3942	6431	585	7958	303	7744	3256	3747	1059	3548	2769	58	0	496	79	229	14553	3230	837	5571	266	2379	9488	1188	0	0	1193	353	13	1017	991	2465	568	6519	344	4439	2593	14081	2012	6379	0	3354	6721	3491	384	909	4302	309	2787	5413	2809	5178	3812
Ruminococcaceae_UCG.003	80	284	39	72	89	24	14	70	14	203	344	52	88	186	40	0	0	12	8	0	218	1221	75	23	0	19	654	0	0	0	13	13	0	62	162	236	0	110	10	248	18	0	342	62	129	75	89	274	33	619	625	64	371	607	205	906	182
Ruminococcaceae_UCG.004	0	0	302	0	0	165	0	0	65	0	0	156	0	0	0	0	0	0	0	0	0	390	0	101	46	0	0	0	0	0	214	0	0	0	0	0	0	117	0	0	0	0	0	0	0	0	0	0	0	0	0	27	136	293	71	0	171
Ruminococcaceae_UCG.005	788	133	663	789	700	189	286	398	357	1087	380	988	17	522	3636	34	0	136	0	69	1645	1651	460	174	405	858	4044	23	33	0	168	290	0	0	430	0	1033	186	83	265	440	2644	1062	1503	1174	689	1124	691	17	140	425	120	1304	927	813	3977	267
Ruminococcaceae_UCG.007	0	0	0	0	14	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0
Ruminococcaceae_UCG.008	0	3	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	3	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ruminococcaceae_UCG.009	0	0	0	0	0	30	0	0	0	21	0	0	7	0	0	0	0	0	0	0	0	0	21	28	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	122	0	0	0	0	0	20	0	0	18	26	31	100	0
Ruminococcaceae_UCG.010	450	0	917	21	155	248	246	8	46	369	280	79	4	0	25	0	0	77	0	5	524	1529	0	197	59	32	2526	0	0	0	0	11	0	37	0	0	84	0	160	312	0	143	312	49	3	393	605	229	0	0	61	0	25	553	51	507	139
Ruminococcaceae_UCG.011	0	0	5	0	0	0	14	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	144	0	0	0	0	0	0	0	0	0	0
Ruminococcaceae_UCG.013	56	3452	214	41	77	2900	311	383	1080	20	498	291	31	147	223	201	0	370	1671	724	254	3724	1707	906	243	16	730	87	88	0	500	68	0	170	815	0	103	26	449	904	0	206	582	185	177	538	1916	83	881	366	1397	755	3012	613	91	797	579
Ruminococcaceae_UCG.014	24988	39	14143	421	394	27823	11791	10224	5331	1026	952	492	86	1099	156	1127	0	1859	901	1700	4420	4616	325	10089	1966	283	13640	0	6	0	34	1623	0	4894	917	16	5878	27	1079	4858	0	5189	17	48	1181	10025	9108	1388	11	10937	16732	543	357	14405	2143	5890	6204
Ruminococcaceae_V9D2013_group	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0
Ruminococcus_1	105	1242	363	781	628	1056	372	1451	272	191	734	1524	276	153	571	47	0	85	539	300	160	3256	694	403	86	9920	1816	0	0	0	84	382	0	215	1463	0	610	107	458	1101	8640	611	1452	6410	15661	287	3125	174	972	5058	297	27	1694	1063	5308	564	353
Ruminococcus_2	0	3563	1387	1281	694	1015	1984	4856	2918	694	0	1545	0	6606	1511	565	0	855	12	160	4050	17615	3822	3288	1171	753	3292	8533	980	0	4451	1058	249	1522	5920	0	9631	1450	938	2053	974	3007	3429	2909	1340	0	1970	342	3183	2362	2623	3476	0	4047	453	2505	892
Sporobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	54	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Subdoligranulum	12171	19511	963	3811	10351	26071	1239	4783	5153	410	7251	3424	7088	10786	1977	289	0	3062	5528	4443	7166	12888	13844	21085	537	1246	4010	385	28	71	10589	637	0	11799	1622	1016	1200	6112	2459	7907	2404	7356	6561	1039	672	5946	1608	2432	16069	5079	11514	2025	11059	3659	2722	3995	2251
Clostridiales_bacterium_DTU089	0	29	41	86	0	244	13	0	0	0	0	17	0	27	0	0	0	50	0	0	5	0	0	927	33	0	0	113	0	0	263	0	0	0	0	0	0	0	6	0	0	13	59	0	29	0	40	0	0	0	11	5	9	6	7	0	0
Family_XIII_UCG-001	16	0	0	94	0	35	6	139	5	6	0	12	82	11	0	0	0	16	12	0	14	217	19	54	8	0	49	0	0	0	130	0	0	0	88	0	10	99	9	12	80	20	181	17	0	73	30	0	0	21	0	120	242	65	266	71	100
Clostridia_bacterium_UC5.1-2E3	0	0	0	0	0	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	123	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Allobaculum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	718	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Asteroleplasma	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
Candidatus_Stoquefichus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Catenibacterium	0	0	0	0	36	0	428	0	0	0	0	132	0	0	0	0	0	575	896	0	0	0	0	0	0	0	937	0	0	0	0	250	0	0	1787	624	1081	0	0	0	0	0	0	161	0	0	0	91	0	0	0	0	0	1358	0	0	0
Catenisphaera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	453	0	2091	0	0	0
Coprobacillus	0	0	0	90	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	34	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	35	29	0	0	0	0	0	0	0	0	0	0	0
Dielma	0	0	0	0	0	3	0	0	0	0	0	6	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	16	35	0	60	0	0	0	0	0	0	2	0	0	0	0	0	9	7	0	0	0	3	0	0	14	0	0	6	0	0
Erysipelatoclostridium	9	21	3	5	0	16	0	0	0	0	2	631	0	0	35	0	0	0	0	2	0	7	0	0	7	76	129	8	9	0	370	0	103	0	0	0	0	48	0	18	0	0	10	0	397	33	0	0	0	0	31	26	7	50	57	3	19
Erysipelotrichaceae_UCG.003	473	0	378	332	6	60	308	433	498	24	127	1598	116	130	375	316	0	34	19	6015	32	3032	261	144	502	547	28	73	98	6	108	48	0	728	46	629	119	1284	652	83	68	1026	262	53	368	753	433	0	941	406	735	240	856	84	132	35	147
Erysipelotrichaceae_UCG.004	7	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	14	0	0	0	0	0	0	0	0	2	0	0	0
Erysipelotrichaceae_UCG.006	0	0	0	0	682	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	114	440	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Faecalicoccus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Faecalitalea	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	144	0	268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	3	0	9	0	0	0	0	0	0	0	0	0	0
Holdemanella	360	0	0	0	985	0	0	0	1839	138	480	0	443	0	0	0	0	802	1679	6	0	0	0	0	1475	0	3060	0	0	0	0	229	0	651	0	4119	1753	235	0	0	0	0	0	1318	0	0	0	0	0	0	0	0	0	248	645	198	0
